Position,Const,Created,Modified,Description,Name,Known For,Birth Date
46,nm0004335,2017-12-10,2017-12-10,,Hrithik Roshan,Super 30,1974-01-10
47,nm4806622,2017-12-10,2017-12-10,,Huma Qureshi,Gangs of Wasseypur,1986-07-28
48,nm4189429,2017-12-10,2017-12-10,,Inaamulhaq,Filmistaan,1979-11-14
49,nm0451234,2017-12-10,2017-12-10,,Irrfan Khan,The Lunchbox,1967-01-07
50,nm0006763,2017-12-10,2017-12-10,,Jackie Shroff,Devdas,1957-02-01
51,nm0792116,2017-12-10,2017-12-10,,Jimmy Sheirgill,A Wednesday,1970-12-03
52,nm0420090,2017-12-10,2017-12-10,,Jeetendra,Kalyug Ke Avtaar,1942-04-07
53,nm0080377,2017-12-10,2017-12-10,,Jaspal Bhatti,Fanaa,1955-03-03
54,nm0505323,2017-12-10,2017-12-10,,Johnny Lever,Baazigar,1957-08-14
55,nm3243068,2017-12-10,2017-12-10,,Jaswinder Bhalla,Carry on Jatta,
56,nm0352032,2017-12-10,2017-12-10,,Kamal Haasan,Vishwaroopam,1954-11-07
57,nm2144007,2017-12-10,2017-12-10,,Kangana Ranaut,Queen,1987-03-20
58,nm1234298,2017-12-10,2017-12-10,,Konkona Sen Sharma,Omkara,1979-12-03
59,nm0434318,2017-12-10,2017-12-10,,Kader Khan,Taqdeerwala,1937-12-11
60,nm1946407,2017-12-10,2017-12-10,,Kay Kay Menon,Haider,1966-10-02
61,nm0004418,2017-12-10,2017-12-10,,Kajol,Kuch Kuch Hota Hai,1974-08-05
62,nm0451425,2017-12-10,2017-12-10,,Kulbhushan Kharbanda,Lagaan: Once Upon a Time in India,1944-10-21
63,nm3202701,2017-12-10,2017-12-10,,Kalki Koechlin,Yeh Jawaani Hai Deewani,1983-01-10
64,nm6151574,2017-12-10,2017-12-10,,Kapil Sharma,Comedy Nights with Kapil,1981-04-02
65,nm2243737,2017-12-10,2017-12-10,,Krishna Abhishek,Bol Bachchan,
66,nm0052334,2017-12-10,2017-12-10,,Karuna Bannerjee,Aparajito,1919-12-25
67,nm1942776,2017-12-10,2017-12-10,,Kanwaljit Singh,Raazi,
68,nm1069034,2017-12-10,2017-12-10,,Lara Dutta,Don 2,1978-04-16
69,nm3190972,2017-12-10,2017-12-10,,Manjot Singh,Oye Lucky! Lucky Oye!,
70,nm2286188,2017-12-10,2017-12-10,,Manu Rishi Chadha,Oye Lucky! Lucky Oye!,1971-01-03
71,nm0576454,2017-12-10,2017-12-10,,Mehmood,Bombay to Goa,1932-09-29
72,nm0864608,2017-12-10,2017-12-10,,Mukesh Tiwari,Dilwale,1969-08-24
73,nm0007123,2017-12-10,2017-12-10,,Mammootty,Oru Vadakkan Veeragatha,1951-09-07
74,nm0221218,2017-12-10,2017-12-10,,Makrand Deshpande,Hanan,1958-07-03
75,nm0534856,2017-12-10,2017-12-10,,Madhavan,Vikram Vedha,1970-06-01
76,nm0482320,2017-12-10,2017-12-10,,Mohanlal,Dasharatham,1960-05-21
77,nm0890622,2017-12-10,2017-12-10,,Mita Vashisht,Droh Kaal,1967-11-02
78,nm0048075,2017-12-10,2017-12-10,,Manoj Bajpayee,Gangs of Wasseypur,1969-04-23
79,nm1259084,2017-12-10,2017-12-10,,Manoj Joshi,Devdas,
80,nm0002043,2017-12-10,2017-12-10,,Madhuri Dixit,Devdas,1967-05-15
81,nm0046894,2017-12-10,2017-12-10,,Mohnish Bahl,Sanjivani: A Medical Boon,1963-02-14
82,nm0149822,2017-12-10,2017-12-10,,Mithun Chakraborty,OMG: Oh My God!,1950-06-16
83,nm0451383,2017-12-10,2017-12-10,,Mukesh Khanna,Mahabharat,1958-07-19
84,nm0222143,2017-12-10,2017-12-10,,Mukul Dev,21 Sarfarosh Saragarhi 1897,1970-11-30
85,nm0534870,2017-12-10,2017-12-10,,Madhubala,Mughal-E-Azam,1933-02-14
86,nm0474932,2017-12-10,2017-12-10,,Meena Kumari,Kaajal,1933-08-01
87,nm0802366,2017-12-10,2017-12-10,,Mala Sinha,Jahan Ara,1936-11-11
88,nm0656644,2017-12-10,2017-12-10,,Manoj Pahwa,Article 15,
89,nm0006370,2017-12-10,2017-12-10,,Manoj Kumar,Roti Kapada Aur Makaan,1937-07-24
90,nm0621937,2017-12-10,2017-12-10,,Nassar,Bãhubali 2: The Conclusion,1958-03-05
91,nm0787462,2017-12-10,2017-12-10,,Naseeruddin Shah,A Wednesday,1950-07-20
92,nm0201903,2017-12-10,2017-12-10,,Nandita Das,Firaaq,1969-11-07
93,nm0015459,2017-12-10,2017-12-10,,Nagarjuna Akkineni,Manam,1959-08-29
94,nm0007113,2017-12-10,2017-12-10,,Nana Patekar,Krantiveer,1951-01-01
95,nm1596350,2017-12-10,2017-12-10,,Nawazuddin Siddiqui,Bajrangi Bhaijaan,1974-05-19
96,nm0004291,2017-12-10,2017-12-10,,Nargis,Mother India,1929-06-01
97,nm0747131,2017-12-10,2017-12-10,,Nirupa Roy,Chhaya,1931-01-04
98,nm0638295,2017-12-10,2017-12-10,,Nutan,Seema,1936-06-04
99,nm4173131,2017-12-10,2017-12-10,,Neeraj Kabi,Ship of Theseus,
100,nm0632615,2017-12-10,2017-12-10,,Navin Nischol,Zorro,1946-03-18
101,nm0019465,2017-12-10,2017-12-10,,Nafisa Ali,Big B,
102,nm0700875,2017-12-10,2017-12-10,,Om Puri,The Hundred-Foot Journey,1950-10-18
103,nm0695170,2017-12-10,2017-12-10,,Om Prakash,Dus Lakh,1919-12-19
104,nm2690647,2017-12-10,2017-12-10,,Pankaj Tripathi,Stree,
105,nm0695199,2017-12-10,2017-12-10,,Pran,Zanjeer,1920-02-12
106,nm0712546,2017-12-10,2017-12-10,,Paresh Rawal,Hera Pheri,1950-05-30
107,nm1231899,2017-12-10,2017-12-10,,Priyanka Chopra,Baywatch,1982-07-18
108,nm0695177,2017-12-10,2017-12-10,,Prakash Raj,Anniyan,1965-03-26
109,nm1659141,2017-12-10,2017-12-10,,Prabhas,Bãhubali: The Beginning,1979-10-23
110,nm0438488,2017-12-10,2017-12-10,,Pankaj Kapur,Maqbool,1954-05-29
111,nm0222150,2017-12-10,2017-12-10,,Prabhu Deva,Lakshya,
112,nm0159159,2017-12-10,2017-12-10,,Prem Chopra,Do Anjaane,1935-09-23
113,nm0080324,2017-12-10,2017-12-10,,Pooja Bhatt,Zakhm,1972-02-24
114,nm0539497,2017-12-10,2017-12-10,,Pawan Malhotra,Bhaag Milkha Bhaag,1958-07-02
115,nm0592795,2017-12-10,2017-12-10,,Piyush Mishra,Gangs of Wasseypur,
116,nm1241910,2017-12-10,2017-12-10,,Prashant Narayanan,Fredrick,
117,nm0222144,2017-12-10,2017-12-10,,Rahul Dev,Champion,
118,nm0097893,2017-12-10,2017-12-10,,Rahul Bose,Everybody Says I'm Fine!,1967-07-27
119,nm0004334,2017-12-10,2017-12-10,,Rekha,Koi... Mil Gaya,1954-10-10
120,nm0665550,2017-12-10,2017-12-10,,Ratna Pathak Shah,Jaane Tu... Ya Jaane Na,1963-03-18
121,nm0006348,2017-12-10,2017-12-10,,Rajendra Kumar,Arzoo,1929-07-20
122,nm0438494,2017-12-10,2017-12-10,,Rajat Kapoor,Ankhon Dekhi,1961-02-11
123,nm1633541,2017-12-10,2017-12-10,,Ranbir Kapoor,Rockstar,1982-09-28
124,nm0944834,2017-12-10,2017-12-10,,Raghuvir Yadav,Dil Se..,1957-06-25
125,nm3822770,2017-12-10,2017-12-10,,Rajkummar Rao,Shahid,1984-08-31
126,nm0720763,2017-12-10,2017-12-10,,Revathi,Thevar Magan,1966-07-08
127,nm0474855,2017-12-10,2017-12-10,,Raaj Kumar,Kaajal,1926-10-08
128,nm0471447,2017-12-10,2017-12-10,,Ramya Krishnan,Bãhubali: The Beginning,1970-09-15
129,nm0707425,2017-12-10,2017-12-10,,Rajinikanth,Enthiran,1950-12-12
130,nm0611552,2017-12-10,2017-12-10,,Rani Mukerji,Black,1978-03-21
131,nm3828984,2017-12-10,2017-12-10,,Ranveer Singh,Gully Boy,1985-07-06
132,nm0438501,2017-12-10,2017-12-10,,Rishi Kapoor,Agneepath,1952-09-04
133,nm0004435,2017-12-10,2017-12-10,,Rajesh Khanna,Anand,1942-12-29
134,nm0706499,2017-12-10,2017-12-10,,Raghuvaran,Mudhalvan,1958-12-10
135,nm0044796,2017-12-10,2017-12-10,,Raj Babbar,Mahabharat,1952-06-23
136,nm0004292,2017-12-10,2017-12-10,,Raj Kapoor,Mera Naam Joker,1924-12-14
137,nm0438496,2017-12-10,2017-12-10,,Rajit Kapoor,The Making of the Mahatma,1960-05-22
138,nm2331000,2017-12-10,2017-12-10,,Radhika Apte,Andhadhun,
139,nm0347901,2017-12-10,2017-12-10,,Rakhee Gulzar,Daag: A Poem of Love,1947-08-15
140,nm1299011,2017-12-10,2017-12-10,,Riteish Deshmukh,Ek Villain,1978-12-17
141,nm1249116,2017-12-10,2017-12-10,,Ranvir Shorey,Ek Tha Tiger,1972-08-18
142,nm3190246,2017-12-10,2017-12-10,,Richa Chadha,Gangs of Wasseypur,1986-12-18
143,nm1056425,2017-12-10,2017-12-10,,Rajpal Yadav,Kal Ho Naa Ho,1971-03-16
144,nm1555152,2017-12-10,2017-12-10,,Raju Srivastava,Baazigar,1963-12-25
145,nm0393535,2017-12-10,2017-12-10,,Randeep Hooda,Highway,1976-08-20
146,nm0592799,2017-12-10,2017-12-10,,Sanjay Mishra,Masaan,
147,nm0000818,2017-12-10,2017-12-10,,Shabana Azmi,Arth,1950-09-18
148,nm0007106,2017-12-10,2017-12-10,,Shakti Kapoor,Andaz Apna Apna,1952-09-03
149,nm0451307,2017-12-10,2017-12-10,,Saif Ali Khan,Kal Ho Naa Ho,1970-08-16
150,nm0451321,2017-12-10,2017-12-10,,Shah Rukh Khan,Don 2,1965-11-02
151,nm0004570,2017-12-10,2017-12-10,,Sunil Dutt,Mujhe Jeene Do,1930-06-06
152,nm0430817,2017-12-10,2017-12-10,,Sharman Joshi,3 Idiots,1979-04-28
153,nm0004434,2017-12-10,2017-12-10,,Shashi Kapoor,Deewaar,1938-03-18
154,nm0665599,2017-12-10,2017-12-10,,Smita Patil,Bhumika,1955-10-17
155,nm0797773,2017-12-10,2017-12-10,,Surekha Sikri,Badhaai ho,1945-04-19
156,nm0430817,2017-12-10,2017-12-10,,Sharman Joshi,3 Idiots,1979-04-28
157,nm3508604,2017-12-10,2017-12-10,,Shashank Arora,Fast & Furious 7,
158,nm1662277,2017-12-10,2017-12-10,,Shreyas Talpade,Om Shanti Om,1976-01-27
159,nm1617909,2017-12-10,2017-12-10,,Shernaz Patel,Black,
160,nm0084443,2017-12-10,2017-12-10,,Seema Biswas,Bandit Queen,1965-01-14
161,nm0451561,2017-12-10,2017-12-10,,Sachin Khedekar,13B: Fear Has a New Address,1965-03-14
162,nm0219971,2017-12-10,2017-12-10,,Sunny Deol,Ghayal,1957-10-19
163,nm3544809,2017-12-10,2017-12-10,,Sudesh Lehri,Jai Ho,
164,nm0154164,2017-12-10,2017-12-10,,Soumitra Chatterjee,Apur Sansar,1935-01-19
165,nm0006762,2017-12-10,2017-12-10,,Saeed Jaffrey,The Man Who Would Be King,1929-01-08
166,nm0304262,2017-12-10,2017-12-10,,Shivaji Ganesan,Deiva Magan,1928-10-01
167,nm0846616,2017-12-10,2017-12-10,,Sharmila Tagore,Aradhana,1946-12-08
168,nm0149441,2017-12-10,2017-12-10,,Sheeba Chaddha,Talaash,
169,nm0004437,2017-12-10,2017-12-10,,Sridevi,English Vinglish,1963-08-13
170,nm0006795,2017-12-10,2017-12-10,,Salman Khan,Sultan,1965-12-27
171,nm0795661,2017-12-10,2017-12-10,,Saurabh Shukla,Jolly LLB,1963-03-05
172,nm0004569,2017-12-10,2017-12-10,,Sanjay Dutt,Munna Bhai M.B.B.S.,1959-07-29
173,nm0474876,2017-12-10,2017-12-10,,Sanjeev Kumar,Sholay,1938-07-09
174,nm1679372,2017-12-10,2017-12-10,,Sudeep,Eega,1973-09-02
175,nm0792911,2017-12-10,2017-12-10,,Sunil Shetty,Main Hoon Na,1961-08-11
176,nm5899377,2017-12-10,2017-12-10,,Tiger Shroff,Heropanti,1990-03-02
177,nm0022758,2017-12-10,2017-12-10,,Tom Alter,Veer-Zaara,1950-06-22
178,nm0025627,2017-12-10,2017-12-10,,Tinnu Anand,Ghajini,1953-05-04
179,nm0007102,2017-12-10,2017-12-10,,Tabu,Andhadhun,1970-11-04
180,nm0223606,2017-12-10,2017-12-10,,Tigmanshu Dhulia,Gangs of Wasseypur,
181,nm0618936,2017-12-10,2017-12-10,,Usha Nadkarni,Pavitra Rishta,
182,nm0802251,2017-12-10,2017-12-10,,Upasna Singh,Jatt & Juliet,1975-06-29
183,nm0244884,2017-12-10,2017-12-10,,Utpal Dutt,Gol Maal,1929-03-29
184,nm1822342,2017-12-10,2017-12-10,,Upendra Limaye,Jogwa,
185,nm3315894,2017-12-10,2017-12-10,,Varun Dhawan,Badlapur,1987-04-24
186,nm0893142,2017-12-10,2017-12-10,,Venkatesh Daggubati,Guru,1960-12-13
187,nm0704694,2017-12-10,2017-12-10,,Vijay Raaz,Monsoon Wedding,
188,nm0665555,2017-12-10,2017-12-10,,Vinay Pathak,Bheja Fry,1968-07-12
189,nm7919429,2017-12-10,2017-12-10,,Vishal Malik,ISIS,
190,nm0324845,2017-12-10,2017-12-10,,Vikram Gokhale,Virrudh: Har Rishta Ek Kurukshetra,1940-10-30
191,nm1479650,2017-12-10,2017-12-10,,Vipin Sharma,Taare Zameen Par,
192,nm0451396,2017-12-10,2017-12-10,,Vinod Khanna,Qurbani,1946-10-06
193,nm0904537,2017-12-10,2017-12-10,,Vyjayanthimala,Devdas,1933-08-13
194,nm1799038,2017-12-10,2017-12-10,,Vidya Balan,Kahaani,1979-01-01
195,nm0386358,2017-12-10,2017-12-10,,Vrajesh Hirjee,Kaho Naa... Pyaar Hai,1971-06-16
196,nm0716851,2017-12-10,2017-12-10,,Waheeda Rehman,Guide,1938-02-03
197,nm1004985,2017-12-10,2017-12-10,,Yashpal Sharma,Lagaan: Once Upon a Time in India,1970-08-09
198,nm0023868,2017-12-10,2017-12-10,,Zeenat Aman,Don,1951-11-19
199,nm0782247,2017-12-10,2017-12-10,,Zohra Sehgal,Kal Ho Naa Ho,1912-04-27
200,nm0906226,2017-12-10,2017-12-10,,Zarina Wahab,My Name Is Khan,
